,value,playerName,birthDate,firstName,shortName,country,club,clubOfficial,fieldPosition
243,2,Mohamed Elneny,1992-07-11,Mohamed Naser,Mohamed Elneny,Egypt,Arsenal,Arsenal FC,MID
244,2,A. Arroyo,1993-12-13,Abdiel,A. Arroyo,Panama,,,FWD
245,2,N. N\u00e1ndez,1995-12-28,Nahitan Michel,N. N\u00e1ndez,Uruguay,,,MID
246,2,Mohamed Salah,1992-06-15,Mohamed ,Mohamed Salah,Egypt,Liverpool,Liverpool FC,FWD
247,2,G. Higua\u00edn,1987-12-10,Gonzalo Gerardo,G. Higua\u00edn,Argentina,Milan,AC Milan,FWD
248,2,M. Gavranovi\u0107,1989-11-24,Mario,M. Gavranovi\u0107,Switzerland,,,FWD
249,2,I. Strini\u0107,1987-07-17,Ivan,I. Strini\u0107,Croatia,Milan,AC Milan,DEF
250,2,G. Mercado,1987-03-18,Gabriel Iv\u00e1n,G. Mercado,Argentina,Sevilla,Sevilla FC,DEF
251,1,V. Kompany,1986-04-10,Vincent,V. Kompany,Belgium,Manchester City,Manchester City FC,DEF
252,1,L. Adv\u00edncula,1990-03-02,Luis Jan Piers,L. Adv\u00edncula,Peru,,,DEF
253,1,S. Lichtsteiner,1984-01-16,Stephan,S. Lichtsteiner,Switzerland,Arsenal,Arsenal FC,DEF
254,1,A. Erokhin,1989-10-13,Aleksandr,A. Erokhin,Russia,,,MID
255,1,P. Guerrero,1984-01-01,Jos\u00e9 Paolo,P. Guerrero,Peru,,,FWD
256,1,S. Okazaki,1986-04-16,Shinji,S. Okazaki,Japan,Leicester City,Leicester City FC,FWD
257,1,M. Krohn-Dehli,1983-06-06,Michael,M. Krohn-Dehli,Denmark,Deportivo La Coru\u00f1a,Real Club Deportivo de La Coru\u00f1a,MID
258,1,O. Ebrahimi,1987-09-16,Omid,O. Ebrahimi,Iran,,,MID
259,1,J. Gallardo,1994-08-15,Jes\u00fas Daniel,J. Gallardo,Mexico,,,MID
260,1,P. Sisto,1995-02-04,Pione,P. Sisto,Denmark,Celta de Vigo,Real Club Celta de Vigo,MID
261,1,C. Borges,1988-08-27,Celso,C. Borges,Costa Rica,,,MID
262,1,Bruno Fernandes,1994-09-08,Bruno Miguel,Bruno Fernandes,Portugal,,,MID
263,1,A. Sk\u00falason,1987-05-14,Ari Freyr,A. Sk\u00falason,Iceland,,,DEF
264,1,J. Irvine,1993-03-07,Jackson,J. Irvine,Australia,,,MID
265,1,L. Milivojevi\u0107,1991-04-07,Luka,L. Milivojevi\u0107,Serbia,Crystal Palace,Crystal Palace FC,MID
266,1,Fahad Al Muwallad,1994-09-14,Fahad Mosaed,Fahad Al Muwallad,Saudi Arabia,,,FWD
267,1,A. Gudmundsson,1997-06-15,Albert,A. Gudmundsson,Iceland,,,FWD
268,1,R. Kurzawa,1993-01-29,Rafa\u0142,R. Kurzawa,Poland,Amiens SC,Amiens SC,MID
269,1,S. Kj\u00e6r,1989-03-26,Simon,S. Kj\u00e6r,Denmark,Sevilla,Sevilla FC,DEF
270,1,B. Mendy,1994-07-17,Benjamin,B. Mendy,France,Manchester City,Manchester City FC,DEF
271,1,J. Hector,1990-05-27,Jonas,J. Hector,Germany,K\u00f6ln,1. FC K\u00f6ln,DEF
272,1,Renato Augusto,1988-02-08,Renato ,Renato Augusto,Brazil,,,MID
273,1,D. S\u00e1nchez,1996-06-12,Davinson,D. S\u00e1nchez,Colombia,Tottenham Hotspur,Tottenham Hotspur FC,DEF
274,1,\u0141. Teodorczyk,1991-06-03,\u0141ukasz,\u0141. Teodorczyk,,Udinese,Udinese Calcio,FWD
275,1,D. Arzani,1999-01-04,Daniel,D. Arzani,Australia,,,MID
276,1,P. Jansson,1991-02-13,Pontus,P. Jansson,Sweden,,,DEF
277,1,J. Guidetti,1992-04-15,John,J. Guidetti,Sweden,Deportivo Alav\u00e9s,Deportivo Alav\u00e9s,FWD
278,1,A. Ekdal,1989-07-28,Albin,A. Ekdal,Sweden,Sampdoria,UC Sampdoria,MID
279,1,F. Kudryashov,1987-04-05,Fedor,F. Kudryashov,Russia,,,DEF
280,1,\u00c9. Flores,1994-05-14,\u00c9dison Michael,\u00c9. Flores,Peru,,,MID
281,1,R. Tapia,1995-07-28,Renato Fabrizio,R. Tapia,Peru,,,MID
282,1,D. Vida,1989-04-29,Domagoj,D. Vida,Croatia,,,DEF
283,1,N. Kant\u00e9,1991-03-29,N'Golo,N. Kant\u00e9,France,Chelsea,Chelsea FC,MID
284,1,Y. Zhirkov,1983-08-20,Yuri,Y. Zhirkov,Russia,,,MID
285,1,M. Jedinak,1984-08-03,Mile,M. Jedinak,Australia,,,MID
286,1,E. Davis,1991-03-31,Erick Javier,E. Davis,Panama,,,DEF
287,1,M. Boussoufa,1984-08-15,Mbark,M. Boussoufa,Morocco,,,MID
288,1,F. Delph,1989-11-21,Fabian,F. Delph,England,Manchester City,Manchester City FC,MID
289,1,Danilo,1991-07-15,Danilo Luiz,Danilo,Brazil,Manchester City,Manchester City FC,DEF
290,1,Danilo,1984-05-10,Danilo,Danilo,,Udinese,Udinese Calcio,DEF
291,1,T. Juri\u0107,1991-07-22,Tomi,T. Juri\u0107,Australia,,,FWD
292,1,M. Yoshida,1988-08-24,Maya,M. Yoshida,Japan,Southampton,Southampton FC,DEF
293,1,G. Sakai,1991-03-14,Gotoku,G. Sakai,Japan,Hamburger SV,Hamburger SV,DEF
294,1,L. Torreira,1996-02-11,Lucas,L. Torreira,Uruguay,Arsenal,Arsenal FC,MID
295,1,I. Kutepov,1993-07-29,Ilya,I. Kutepov,Russia,,,DEF
296,1,Marco Asensio,1996-01-21,Marco,Marco Asensio,Spain,Real Madrid,Real Madrid Club de F\u00fatbol,MID
297,1,M. Rojo,1990-03-20,Faustino Marcos Alberto,M. Rojo,,Manchester United,Manchester United FC,DEF
298,1,N. Fekir,1993-07-18,Nabil,N. Fekir,France,Olympique Lyonnais,Olympique Lyonnais,MID
299,1,M. Badelj,1989-02-25,Milan,M. Badelj,Croatia,Lazio,SS Lazio,MID
300,1,M. Murillo,1996-02-11,Michael Amir,M. Murillo,Panama,,,DEF
301,1,Adrien Silva,1989-03-15,Adrien Sebastian,Adrien Silva,Portugal,Leicester City,Leicester City FC,MID
302,1,K. Omeruo,1993-10-17,Kenneth Josiah,K. Omeruo,Nigeria,Legan\u00e9s,CD Legan\u00e9s,DEF
303,1,D. Lovren,1989-07-05,Dejan,D. Lovren,Croatia,Liverpool,Liverpool FC,DEF
304,1,L. Tejada,1982-03-28,Luis Carlos,L. Tejada,Panama,,,FWD
305,1,M. Pjaca,1995-05-06,Marko,M. Pjaca,Croatia,Fiorentina,ACF Fiorentina,FWD
306,1,A. Machado,1985-02-14,Adolfo Abdiel,A. Machado,Panama,,,DEF
307,1,K. El Ahmadi,1985-01-27,Karim,K. El Ahmadi,Morocco,,,MID
308,1,F. Fajr,1988-08-01,Fay\u00e7al,F. Fajr,Morocco,Caen,Stade Malherbe Caen,MID
309,1,M. Taremi,1992-07-18,Mehdi,M. Taremi,Iran,,,FWD
310,1,P. Aquino,1995-04-13,Pedro Jes\u00fas,P. Aquino,Peru,,,MID
311,1,Young-Gwon Kim,1990-02-27,Young-Gwon,Young-Gwon Kim,Korea Republic,,,DEF
312,1,J. Brandt,1996-05-02,Julian,J. Brandt,Germany,Bayer Leverkusen,TSV Bayer 04 Leverkusen,MID
313,1,Hattan Bahbir,1992-07-16,Hattan,Hattan Bahbir,Saudi Arabia,,,MID
314,1,C. Pav\u00f3n,1996-01-21,Cristian David,C. Pav\u00f3n,Argentina,,,FWD
315,1,Sung-Yeung Ki,1989-01-24,Sung-Yeung,Sung-Yeung Ki,Korea Republic,Newcastle United,Newcastle United FC,MID
316,1,R. Jim\u00e9nez,1991-05-05,Ra\u00fal Alonso,R. Jim\u00e9nez,Mexico,,,FWD
317,1,K. Koulibaly,1991-06-20,Kalidou,K. Koulibaly,Senegal,Napoli,SSC Napoli,DEF
318,1,T. Usami,1992-05-06,Takashi,T. Usami,Japan,,,FWD
319,1,M. Hummels,1988-12-16,Mats ,M. Hummels,Germany,Bayern M\u00fcnchen,FC Bayern M\u00fcnchen,DEF
320,1,Yong Lee,1986-12-24,Yong,Yong Lee,Korea Republic,,,DEF
321,1,D. Zakaria,1996-11-20,Denis Lemi,D. Zakaria,Switzerland,Borussia M'gladbach,Borussia VfL M\u00f6nchengladbach,MID
322,1,O. Ighalo,1989-06-16,Odion Jude,O. Ighalo,Nigeria,,,FWD
323,1,I. Gueye,1989-09-26,Idrissa Gana,I. Gueye,Senegal,Everton,Everton FC,MID
324,1,B. Keita,1995-03-08,Keita,B. Keita,Senegal,Internazionale,FC Internazionale Milano,FWD
325,1,J. Campbell,1992-06-26,Joel Nathaniel,J. Campbell,Costa Rica,,,FWD
326,1,J. Stones,1994-05-28,John,J. Stones,England,Manchester City,Manchester City FC,DEF
327,1,S. San\u00e9,1990-08-25,Salif,S. San\u00e9,Senegal,Schalke 04,FC Schalke 04,DEF
328,1,W. Barrios,1993-10-16,W\u00edlmar Enrique,W. Barrios,Colombia,,,MID
329,1,A. Ma\u00e2loul,1990-01-01,Ali,A. Ma\u00e2loul,,,,DEF
330,1,Nacho,1990-01-18,Jos\u00e9 Ignacio,Nacho,Spain,Real Madrid,Real Madrid Club de F\u00fatbol,DEF
331,1,Manuel Fernandes,1986-02-05,Manuel Henrique,Manuel Fernandes,Portugal,,,MID
332,1,G. Chaalali,1994-02-28,Ghilane,G. Chaalali,Tunisia,,,MID
333,1,A. Rukavina,1984-01-26,Antonio,A. Rukavina,Serbia,,,DEF
334,1,L. Sch\u00f6ne,1986-05-27,Lasse,L. Sch\u00f6ne,Denmark,,,MID
335,1,William Carvalho,1992-04-07,William,William Carvalho,Portugal,Real Betis,Real Betis Balompi\u00e9,MID
336,1,A. Harit,1997-06-18,Amine,A. Harit,Morocco,Schalke 04,FC Schalke 04,MID
337,1,Jo\u00e3o Moutinho,1986-09-08,Jo\u00e3o Filipe,Jo\u00e3o Moutinho,Portugal,,,MID
338,1,D. God\u00edn,1986-02-16,Diego Roberto,D. God\u00edn,Uruguay,Atl\u00e9tico Madrid,Club Atl\u00e9tico de Madrid,DEF
339,1,Jo\u00e3o Miranda,1984-09-07,Jo\u00e3o,Jo\u00e3o Miranda,Brazil,Internazionale,FC Internazionale Milano,DEF
340,1,P. Hurtado,1990-07-27,Christopher Paolo C\u00e9sar,P. Hurtado,Peru,,,MID
341,1,M. Kova\u010di\u0107,1994-05-06,Mateo,M. Kova\u010di\u0107,Croatia,Chelsea,Chelsea FC,MID
342,1,F. Kosti\u0107,1992-11-01,Filip,F. Kosti\u0107,Serbia,Hamburger SV,Hamburger SV,MID
343,1,L. Hern\u00e1ndez,1996-02-14,Lucas ,L. Hern\u00e1ndez,France,Atl\u00e9tico Madrid,Club Atl\u00e9tico de Madrid,DEF
344,1,R. Varane,1993-04-25,Rapha\u00ebl,R. Varane,France,Real Madrid,Real Madrid Club de F\u00fatbol,DEF
345,1,O. Etebo,1995-11-09,Oghenekaro,O. Etebo,Nigeria,Stoke City,Stoke City FC,FWD
346,1,A. Aguilar,1985-01-06,Abel Enrique,A. Aguilar,Colombia,,,MID
347,1,D. Cheryshev,1990-12-26,Denis,D. Cheryshev,Russia,Valencia,Valencia Club de F\u00fatbol,MID
348,1,R. Loftus-Cheek,1996-01-23,Ruben,R. Loftus-Cheek,England,Chelsea,Chelsea FC,MID
349,1,Sergio Ramos,1986-03-30,Sergio,Sergio Ramos,Spain,Real Madrid,Real Madrid Club de F\u00fatbol,DEF
350,1,A. Rodr\u00edguez,1990-08-05,Alex Ra\u00fal,A. Rodr\u00edguez,Panama,,,GKP
351,1,A. Rodr\u00edguez,1984-03-31,Alberto Junior,A. Rodr\u00edguez,,,,DEF
352,1,P. Jones,1992-02-21,Phil,P. Jones,England,Manchester United,Manchester United FC,DEF
353,1,R. Avila,1997-02-04,Ricardo,R. Avila,,,,MID
354,1,B. Idowu,1992-05-18,Brian Oladapo,B. Idowu,Nigeria,,,DEF
355,1,A. Gunnarsson,1989-04-22,Aron Einar,A. Gunnarsson,Iceland,,,MID
356,1,T. Delaney,1991-09-03,Thomas,T. Delaney,Denmark,Borussia Dortmund,BV Borussia 09 Dortmund,MID
357,1,S. Umtiti,1993-11-14,Samuel Yves,S. Umtiti,France,Barcelona,FC Barcelona,DEF
358,1,M. Fabi\u00e1n,1989-07-21,Marco Jhonfai,M. Fabi\u00e1n,Mexico,Eintracht Frankfurt,Eintracht Frankfurt,MID
359,1,Mohamed Abdel-Shafi,1985-07-01,Mohamed,Mohamed Abdel-Shafi,Egypt,,,DEF
